,a,b,a_count,b_count,ab_count,pmi
6274,egg,mango,22696,352,78,0.06944187890753857
38126,cured_pork,egg,325,22696,72,0.06920516450236179
3555,mustard,nutmeg,4012,2784,109,0.06896691599773846
35672,coconut,grape,1618,380,6,0.06895032319391758
39473,avocado,soy_sauce,800,1794,14,0.06855076363332091
47325,avocado,fenugreek,800,769,6,0.06836497635921494
32194,mozzarella_cheese,pimento,1935,318,6,0.06815368528872706
37361,ham,starch,1459,2461,35,0.06782666688030332
43867,basil,beet,4637,177,8,0.06777712901927711
10677,artichoke,potato,414,4214,17,0.06748798017149835
51433,pork,tarragon,1731,415,7,0.06748527795313682
21745,cane_molasses,lettuce,8088,1142,90,0.0674447237187334
30996,basil,cumin,4637,3232,146,0.06723552198062087
6196,grape,olive_oil,380,9192,34,0.06640865667186967
24842,cashew,cheese,204,4029,8,0.06635626694900329
13337,bread,ginger,5666,2613,144,0.0656285579696576
50652,cinnamon,cod,5935,156,9,0.0650544673476451
24286,beef,ham,5925,1459,84,0.06468248862192723
28281,chicken,cucumber,5671,1597,88,0.0646421225538971
24244,celery_oil,lime_juice,1064,1451,15,0.06455948262116357
24182,egg,saffron,22696,127,28,0.06438165153265649
30824,lime_juice,zucchini,1451,1348,19,0.06436163911473147
10954,cayenne,mozzarella_cheese,8036,1935,151,0.06403870972094819
41021,egg,olive,22696,2001,441,0.06400676867915633
43376,lettuce,walnut,1142,2976,33,0.06394397960227355
51951,chicken_broth,orange_peel,3299,562,18,0.06380344107862343
4403,beet,egg,177,22696,39,0.06377614137186126
42670,cereal,nutmeg,296,2784,8,0.06374627020619654
33937,blueberry,fenugreek,670,769,5,0.06337743484817579
19440,plum,thyme,234,3523,8,0.06336045228562794
5362,fennel,scallion,866,3333,28,0.06299972760976012
36261,brown_rice,cheese,435,4029,17,0.0629020320809159
45141,cream,roasted_beef,11365,254,28,0.06288471117475487
20940,beef,milk,5925,14411,828,0.06263830984829732
23193,egg,feta_cheese,22696,659,145,0.06237443573411124
1576,starch,walnut,2461,2976,71,0.06232963500200811
10717,cumin,tarragon,3232,415,13,0.062122621894583514
42467,beef,fish,5925,1045,60,0.06194463612458846
25863,coffee,coriander,640,1129,7,0.06166261285666486
10758,egg,smoke,22696,455,100,0.06123699485318483
50996,cabbage,orange,887,1630,14,0.06118525780960223
46850,chive,fenugreek,1343,769,10,0.06114113126989533
9176,crab,lard,618,3511,21,0.06068600840203119
23049,cayenne,lard,8036,3511,273,0.0604370973864336
21690,lemon_juice,turkey,5021,1050,51,0.06020399784278232
39882,parsley,potato_chip,5499,94,5,0.06012979796101302
31348,bay,cream,1319,11365,145,0.060119057721347395
43098,chicken,yeast,5671,3975,218,0.05990249199135985
7972,cocoa,nutmeg,4420,2784,119,0.059892700890206395
7710,lime_peel_oil,onion,105,20682,21,0.05985125612571032
23087,bacon,lard,2592,3511,88,0.05980378514234028
41335,fish,meat,1045,990,10,0.05941618977122953
2335,grape_juice,whole_grain_wheat_flour,844,981,8,0.05902479182324692
43104,scallion,yeast,3333,3975,128,0.05893036282817622
29096,bell_pepper,watermelon,6091,102,6,0.058527309412030305
47572,butter,coriander,21738,1129,237,0.05846362116706821
33717,butter,chicory,21738,81,17,0.05825523356537624
32234,cream_cheese,sauerkraut,3604,230,8,0.057870818333143254
32120,cranberry,swiss_cheese,1032,703,7,0.05760751550787133
44049,orange,pimento,1630,318,5,0.05735944015784657
25889,coriander,macaroni,1129,3765,41,0.05728956662538303
14690,beef,lime_peel_oil,5925,105,6,0.05717135737193081
14236,broccoli,marjoram,1180,703,8,0.05712313671419171
17887,broccoli,cream_cheese,1180,3604,41,0.05681093482110005
12946,mustard,peanut,4012,414,16,0.05598580363737176
2339,cinnamon,peanut_butter,5935,1050,60,0.05548501633149423
34748,carrot,pumpkin,3558,759,26,0.05544909670480277
38260,garlic,smoked_salmon,17478,107,18,0.055152901551500065
18355,cream,lavender,11365,64,7,0.05504153371372881
48527,asparagus,sage,453,1147,5,0.05494887412642687
33052,chicken,grapefruit,5671,110,6,0.054466559726341957
43304,egg,green_bell_pepper,22696,3290,718,0.05419095310485048
2406,honey,tabasco_pepper,2454,1229,29,0.054173299454313664
47068,cilantro,peanut_butter,1981,1050,20,0.054137988008602214
35185,bread,buttermilk,5666,1909,104,0.054125599329894386
35352,lemon_juice,white_bread,5021,435,21,0.054100214904764535
40271,asparagus,cayenne,453,8036,35,0.054077414376285916
52297,cream_cheese,mustard,3604,4012,139,0.05393736962536825
37895,salmon,tomato,474,11633,53,0.05379163034501031
21276,meat,shrimp,990,1051,10,0.05369098329319014
17930,cream,vinegar,11365,5695,622,0.053610684875984485
12026,almond,crab,2360,618,14,0.052460178442643224
53083,buttermilk,lemon_juice,1909,5021,92,0.05237756159331838
46380,fenugreek,thyme,769,3523,26,0.052245594479331796
22708,cream_cheese,oregano,3604,4019,139,0.052194124257993364
39872,lemon_peel,parmesan_cheese,808,3869,30,0.05219217274527813
5296,cranberry,scallion,1032,3333,33,0.05193374142196363
18195,black_pepper,starch,10422,2461,246,0.051642454376878054
12474,chicken,coconut,5671,1618,88,0.05157817315047262
17321,mustard,plum,4012,234,9,0.051166517201422804
20348,cinnamon,egg_noodle,5935,440,25,0.04978699521685667
43528,peach,vegetable_oil,533,10977,56,0.049581017186719235
32489,carrot,cream,3558,11365,387,0.04948529282208877
19715,bacon,coriander,2592,1129,28,0.04924009285810774
20882,cream,raisin,11365,2005,218,0.04911019106650707
46575,raisin,sage,2005,1147,22,0.049046200793006894
1003,barley,vinegar,257,5695,14,0.04894557314348744
36583,bread,honey,5666,2454,133,0.04894402686516642
24304,cane_molasses,cumin,8088,3232,250,0.04877594182568409
23,egg_noodle,lemon,440,3090,13,0.048556464962169886
31723,blue_cheese,pork,423,1731,7,0.04839161913755729
18604,garlic,lemon_peel,17478,808,135,0.04832269803457548
19635,celery,cottage_cheese,4391,548,23,0.04821486272414804
44122,dill,whole_grain_wheat_flour,1280,981,12,0.04802703761370556
9378,rye_flour,vinegar,147,5695,8,0.04797328332454837
24149,ham,soy_sauce,1459,1794,25,0.04747443803140465
30708,carrot,crab,3558,618,21,0.04738831634468294
15376,kidney_bean,parmesan_cheese,623,3869,23,0.04650454674591454
39045,vinegar,yeast,5695,3975,216,0.04646270901918134
47845,bacon,turmeric,2592,930,23,0.04643277661441402
24538,bread,roasted_peanut,5666,148,8,0.046298791829990193
8185,corn_flake,cream_cheese,320,3604,11,0.04608286258110086
29318,egg,mint,22696,749,162,0.04522157953120852
51850,fish,swiss_cheese,1045,703,7,0.04508929715046795
17245,parsley,soy_sauce,5499,1794,94,0.045078407448178835
36679,cashew,milk,204,14411,28,0.04464563779735704
11245,apricot,bread,593,5666,32,0.0446110277162704
49851,lime,turkey,1000,1050,10,0.04459257516507067
47826,cayenne,provolone_cheese,8036,196,15,0.044557020241598945
17269,corn,turmeric,5533,930,49,0.044458473369946405
27271,cauliflower,orange,387,1630,6,0.043307686702196244
39731,apple,cocoa,2522,4420,106,0.04304480682018954
21823,brown_rice,parmesan_cheese,435,3869,16,0.04279954075531538
47324,cranberry,pork_sausage,1032,1631,16,0.042694377881990354
39002,butter,pork_sausage,21738,1631,337,0.04262537191294684
21482,carrot,orange_peel,3558,562,19,0.042291465351699954
22819,cheese,dill,4029,1280,49,0.04223966031034749
23185,green_bell_pepper,mango,3290,352,11,0.0419294577455871
3564,peach,rice,533,2766,14,0.041686597529441684
35038,cereal,vinegar,296,5695,16,0.04119359633916943
29174,broccoli,cayenne,1180,8036,90,0.041161431240460664
2705,rice,vanilla,2766,8846,232,0.040167405318065494
29946,grapefruit,pepper,110,10555,11,0.03936815102826446
32060,marjoram,shrimp,703,1051,7,0.0393640906724283
52189,ginger,parsley,2613,5499,136,0.038387288012356
33652,romano_cheese,vegetable_oil,308,10977,32,0.038386870443566735
27505,thyme,turmeric,3523,930,31,0.03804264430133834
27077,raisin,vinegar,2005,5695,108,0.03769621580699871
37607,chive,fennel,1343,866,11,0.03765737201742913
48770,gelatin,raisin,1689,2005,32,0.03675285055598815
18888,butter,smoked_sausage,21738,336,69,0.03648638881565408
10606,green_bell_pepper,lemon_juice,3290,5021,156,0.036136971760144854
31173,buttermilk,pineapple,1909,1886,34,0.03612044200174217
17286,leek,vegetable_oil,357,10977,37,0.03593288148199996
41680,pineapple,zucchini,1886,1348,24,0.03577127998702162
14633,cranberry,shallot,1032,616,6,0.03556676395775812
40888,milk,shiitake,14411,125,17,0.03546072822028461
44134,cucumber,oat,1597,1593,24,0.03510557652761584
30848,lard,oregano,3511,4019,133,0.03421276190885176
42740,buttermilk,carrot,1909,3558,64,0.03390259571287484
37523,basil,black_bean,4637,527,23,0.03277898730105788
16161,milk,sour_milk,14411,59,8,0.03246521924048594
20192,olive,orange_juice,2001,1806,34,0.032396660360228584
43106,ham,sesame_seed,1459,510,7,0.03230107911888748
52564,lavender,tomato,64,11633,7,0.03173410418360603
42899,lime_juice,parsley,1451,5499,75,0.03146652844903921
23385,cucumber,peach,1597,533,8,0.03134617360371014
25936,garlic,peanut,17478,414,68,0.031251709468033774
33820,apricot,cumin,593,3232,18,0.030629143562184373
3550,avocado,pork,800,1731,13,0.03019127892213131
4745,cayenne,swiss_cheese,8036,703,53,0.029556500111363203
52390,beef,radish,5925,162,9,0.029000480405234504
29316,macaroni,sesame_seed,3765,510,18,0.028766096248530656
23116,potato,yeast,4214,3975,157,0.02860638820047248
35788,black_pepper,pepper,10422,10555,1031,0.028563492570109917
39883,cane_molasses,lamb,8088,343,26,0.0285375344599659
39103,olive_oil,pistachio,9192,209,18,0.028256890707493296
27804,banana,chickpea,1280,417,5,0.02804453802636725
30400,fig,vegetable_oil,107,10977,11,0.02781718895387902
26799,coconut,meat,1618,990,15,0.02770736465986852
43302,mushroom,saffron,4205,127,5,0.027529457873191856
47902,crab,rice,618,2766,16,0.027250956862118043
9030,celery_oil,marjoram,1064,703,7,0.02707079164778969
31155,coriander,starch,1129,2461,26,0.026994127785495283
23794,vanilla,white_bread,8846,435,36,0.026760453243885034
15404,buttermilk,shallot,1909,616,11,0.026621689843834284
13096,asparagus,tamarind,453,1888,8,0.02658427379608713
30537,mustard,peach,4012,533,20,0.026473904611051244
37022,bacon,cilantro,2592,1981,48,0.02596711104190593
42243,lime,starch,1000,2461,23,0.025724090860687956
51066,starch,zucchini,2461,1348,31,0.025595066926569137
14730,basil,lemon_peel,4637,808,35,0.025271322881588704
8376,beef,cream,5925,11365,629,0.025209758715196307
3512,celery,yeast,4391,3975,163,0.024966107461343673
49274,buttermilk,sweet_potato,1909,561,10,0.02483756805033265
36827,basil,butter,4637,21738,941,0.024611299375517686
5442,soy_sauce,thyme,1794,3523,59,0.02457442725047178
40725,potato,tuna,4214,483,19,0.02456293545446442
20520,cayenne,rosemary,8036,2360,177,0.02435431292407966
17471,fish,yogurt,1045,1129,11,0.02334374855452828
11950,beef_broth,whole_grain_wheat_flour,656,981,6,0.023334425023334066
3161,basil,radish,4637,162,7,0.022799133736199406
16241,cream,thyme,11365,3523,373,0.022524709320665453
6240,lemon,soybean,3090,452,13,0.02164901204224551
1979,cheese,corn_flake,4029,320,12,0.02162037310761186
48528,egg,shrimp,22696,1051,222,0.02154423881137244
45751,lemon_juice,maple_syrup,5021,535,25,0.02153288624221981
22312,buttermilk,celery,1909,4391,78,0.02136993670685782
22210,oat,sage,1593,1147,17,0.021242121321528182
24395,cayenne,orange_juice,8036,1806,135,0.021026522831404975
31016,lemon,turnip,3090,174,5,0.02076444763251139
1173,barley,lemon_juice,257,5021,12,0.020754373162806008
22459,anise,black_pepper,227,10422,22,0.02072640471248444
51636,cranberry,ham,1032,1459,14,0.020605039355695843
31189,celery,provolone_cheese,4391,196,8,0.020322816192332307
13756,raisin,tuna,2005,483,9,0.020116788247708343
24326,bread,corn_grit,5666,171,9,0.019630544747828885
45680,bread,wheat_bread,5666,114,6,0.019630544747828667
17112,parsley,walnut,5499,2976,152,0.019531792690210322
7363,bacon,nutmeg,2592,2784,67,0.019171744769221708
5444,beef,lime,5925,1000,55,0.01895014455173319
23651,chicken,wheat_bread,5671,114,6,0.018748477124262627
15233,bean,egg_noodle,2204,440,9,0.018728884455838864
19388,chive,green_bell_pepper,1343,3290,41,0.01857623072638384
18216,potato,white_bread,4214,435,17,0.018007922908128644
10784,cane_molasses,egg_noodle,8088,440,33,0.017904278158597135
38548,egg,thyme,22696,3523,741,0.01729667477089336
38918,bell_pepper,butter,6091,21738,1227,0.017250938056025723
49763,egg,mushroom,22696,4205,884,0.016791718046638943
50096,caraway,cayenne,215,8036,16,0.01657217248202453
49916,apple,barley,2522,257,6,0.016184072112701415
50915,egg,leek,22696,357,75,0.016116559572715326
16867,basil,egg,4637,22696,973,0.01492542561058801
2039,lard,onion,3511,20682,671,0.014402129363060432
50987,chicken_broth,peanut_butter,3299,1050,32,0.014123992724307208
43764,butter,vegetable_oil,21738,10977,2204,0.01396276076708765
37797,milk_fat,pepper,821,10555,80,0.013456769243763562
26906,lovage,parmesan_cheese,168,3869,6,0.013352339429014079
31680,anise,vegetable_oil,227,10977,23,0.01329494906516178
44479,bacon,fish,2592,1045,25,0.013226807301855
22997,hazelnut,soy_sauce,302,1794,5,0.013116056745220456
265,blue_cheese,soy_sauce,423,1794,7,0.012643131695024878
28100,ginger,tarragon,2613,415,10,0.012360511547465872
4925,parmesan_cheese,whole_grain_wheat_flour,3869,981,35,0.012332451528268675
14602,celery,orange,4391,1630,66,0.012315381968631323
20761,chive,turkey,1343,1050,13,0.012050922091461132
22697,cocoa,yogurt,4420,1129,46,0.011967061572420423
2701,cayenne,endive,8036,81,6,0.011931792925522197
48860,basil,cream_cheese,4637,3604,154,0.011638303598670921
32443,bell_pepper,smoked_salmon,6091,107,6,0.010671288234395308
12869,chicken_broth,feta_cheese,3299,659,20,0.009942272127633513
9210,cane_molasses,kiwi,8088,121,9,0.009605475343902173
19427,blue_cheese,cheddar_cheese,423,4371,17,0.009402274451354806
46629,olive,soy_sauce,2001,1794,33,0.009210388568736272
37441,dill,sesame_seed,1280,510,6,0.009041590900751729
47719,strawberry,white_bread,1251,435,5,0.008701575183236193
1799,lard,savory,3511,155,5,0.008664823651152674
22456,celery,walnut,4391,2976,120,0.008152280572077255
10414,chicken,mint,5671,749,39,0.008010118903130217
15565,vinegar,yogurt,5695,1129,59,0.007414208179506075
31889,chicken,pork,5671,1731,90,0.006542571444759197
10765,butter,goat_cheese,21738,266,53,0.006286648952021636
34214,ham,pear,1459,374,5,0.005983770801514021
34306,blue_cheese,orange_juice,423,1806,7,0.00597644033683577
18395,buttermilk,olive,1909,2001,35,0.005919107484663664
34843,apple,parsley,2522,5499,127,0.005366237730642944
37213,brown_rice,lemon_juice,435,5021,20,0.005310050735332571
8821,cheese,pumpkin,4029,759,28,0.00523745189295771
4433,celery,milk_fat,4391,821,33,0.0049803857570656935
6562,honey,rosemary,2454,2360,53,0.0047085945663404025
6195,bell_pepper,egg,6091,22696,1265,0.004624078141180004
34381,blueberry,lettuce,670,1142,7,0.004404250759077088
34160,melon,scallion,164,3333,5,0.004251610606893333
24613,yeast,zucchini,3975,1348,49,0.003971183854673102
19858,peanut_butter,scallion,1050,3333,32,0.0038705856451488998
39834,cottage_cheese,cucumber,548,1597,8,0.003592310821539002
6911,corn,white_bread,5533,435,22,0.0035191836762532417
13202,blueberry,ginger,670,2613,16,0.0033649486388881208
29617,lemon,tomato_juice,3090,248,7,0.002863237303270933
6902,fish,pineapple,1045,1886,18,0.0026943346085816096
34052,broccoli,nutmeg,1180,2784,30,0.0025918470528656463
3201,milk,wheat_bread,14411,114,15,0.0024128741740841887
27152,olive_oil,swiss_cheese,9192,703,59,0.0023999368711943984
48620,coconut,salmon,1618,474,7,0.0020649340465309423
41328,butter,green_bell_pepper,21738,3290,652,0.0008927623488344069
31533,horseradish,oregano,464,4019,17,0.0008486016854909018
805,fenugreek,milk,769,14411,101,0.0005906688019851794
23508,ginger,smoked_sausage,2613,336,8,0.00038432050075035807
5934,cane_molasses,grape,8088,380,28,0.00020470105919623055
51726,sour_milk,bay,59,1319,0,0.0
51120,balm,shrimp,3,1051,0,0.0
37083,cottage_cheese,orange_flower,548,15,0,0.0
37808,lamb,haddock,343,41,0,0.0
37489,hop,spearmint,3,4,0,0.0
35410,vanilla,horseradish,8846,464,0,0.0
35411,chicken_broth,mandarin,3299,335,0,0.0
37804,pork_sausage,red_kidney_bean,1631,76,0,0.0
35137,rapeseed,citrus_peel,2,1,0,0.0
37074,pineapple,chicken_liver,1886,33,0,0.0
35435,chicory,raisin,81,2005,0,0.0
51724,lime_juice,mace,1451,115,0,0.0
35436,wasabi,popcorn,55,130,0,0.0
51119,lilac_flower_oil,yam,2,70,0,0.0
35409,milk_fat,sour_cherry,821,44,0,0.0
37198,anise_seed,octopus,67,10,0,0.0
51068,rapeseed,sunflower_oil,2,4,0,0.0
35174,almond,kidney_bean,2360,623,0,0.0
35136,brassica,crab,53,618,0,0.0
51704,celery_oil,sassafras,1064,18,0,0.0
51074,ham,wasabi,1459,55,0,0.0
37816,rye_flour,coconut_oil,147,18,0,0.0
37510,black_tea,seaweed,34,18,0,0.0
35417,blackberry,kumquat,166,20,0,0.0
35146,prawn,tomato,16,11633,0,0.0
51715,goat_cheese,shellfish,266,2,0,0.0
37184,bay,macadamia_nut,1319,109,0,0.0
35143,tomato_juice,yeast,248,3975,8,0.0
35135,chervil,pea,36,1196,0,0.0
35144,butter,tuna,21738,483,74,0.0
35175,pepper,black_currant,10555,6,0,0.0
35097,tarragon,sturgeon_caviar,415,1,0,0.0
35179,kumquat,roasted_hazelnut,20,2,0,0.0
35413,roasted_nut,hazelnut,1,302,0,0.0
35177,strawberry_juice,japanese_plum,1,1,0,0.0
35103,avocado,barley,800,257,0,0.0
37185,cane_molasses,tangerine,8088,31,0,0.0
35101,plum,yogurt,234,1129,0,0.0
37200,citrus,spearmint,96,4,0,0.0
50881,scallop,palm,168,25,0,0.0
35140,okra,bitter_orange,98,5,0,0.0
51626,asparagus,yam,453,70,0,0.0
37776,pimento,balm,318,3,0,0.0
35414,chickpea,salmon_roe,417,9,0,0.0
37815,turnip,guava,174,9,0,0.0
35415,lilac_flower_oil,popcorn,2,130,0,0.0
51071,cured_pork,peach,325,533,0,0.0
35427,egg_noodle,saffron,440,127,0,0.0
51705,endive,concord_grape,81,5,0,0.0
35178,lettuce,hop,1142,3,0,0.0
35102,litchi,chickpea,6,417,0,0.0
35104,vanilla,smoked_sausage,8846,336,0,0.0
51716,corn_grit,black_sesame_seed,171,1,0,0.0
37069,rhubarb,spearmint,207,4,0,0.0
35416,smoked_sausage,roasted_hazelnut,336,2,0,0.0
37777,tarragon,rutabaga,415,40,0,0.0
35180,oyster,black_tea,184,34,0,0.0
35138,chicken,veal,5671,121,5,0.0
35105,pepper,whole_grain_wheat_flour,10555,981,59,0.0
35141,ham,lingonberry,1459,4,0,0.0
35176,beef,shellfish,5925,2,0,0.0
51070,soybean,smoked_salmon,452,107,0,0.0
35434,cacao,savory,37,155,0,0.0
51706,lime,zucchini,1000,1348,10,0.0
37199,balm,blackberry,3,166,0,0.0
35098,cayenne,clove,8036,10,0,0.0
51627,cream,soy_sauce,11365,1794,45,0.0
35142,black_sesame_seed,lard,1,3511,0,0.0
35099,nutmeg,spearmint,2784,4,0,0.0
35100,tuna,chinese_cabbage,483,2,0,0.0
37073,pimento,baked_potato,318,10,0,0.0
51725,barley,munster_cheese,257,41,0,0.0
51707,brassica,coconut,53,1618,0,0.0
35127,carnation,munster_cheese,2,41,0,0.0
51708,bone_oil,meat,10,990,0,0.0
51719,brassica,jasmine,53,4,0,0.0
37194,sesame_oil,carnation,356,2,0,0.0
35162,wasabi,pistachio,55,209,0,0.0
35121,lime_peel_oil,whole_grain_wheat_flour,105,981,0,0.0
35152,citrus,hazelnut,96,302,0,0.0
37195,roquefort_cheese,baked_potato,17,10,0,0.0
51621,papaya,oregano,43,4019,0,0.0
35120,chive,peanut_oil,1343,125,0,0.0
37509,coriander,lima_bean,1129,158,0,0.0
37077,kumquat,red_kidney_bean,20,76,0,0.0
35431,rye_flour,cured_pork,147,325,0,0.0
35119,peanut,kohlrabi,414,6,0,0.0
50883,veal,litchi,121,6,0,0.0
50885,oatmeal,green_bell_pepper,73,3290,0,0.0
35118,shellfish,shrimp,2,1051,0,0.0
35151,galanga,kidney_bean,7,623,0,0.0
35163,sassafras,roasted_beef,18,254,0,0.0
51116,lime,white_bread,1000,435,0,0.0
37070,goat_cheese,octopus,266,10,0,0.0
37075,brussels_sprout,lemon_peel,112,808,0,0.0
37182,cured_pork,whole_grain_wheat_flour,325,981,0,0.0
35421,coffee,rose,640,49,0,0.0
35420,sheep_cheese,banana,1,1280,0,0.0
37493,watercress,romano_cheese,89,308,0,0.0
51069,ham,lime_juice,1459,1451,11,0.0
35150,roasted_beef,sesame_seed,254,510,0,0.0
35153,carnation,cardamom,2,269,0,0.0
37076,sesame_oil,popcorn,356,130,0,0.0
51073,smoked_fish,corn_grit,6,171,0,0.0
35161,ginger,mackerel,2613,4,0,0.0
51622,okra,nectarine,98,58,0,0.0
35154,hop,peach,3,533,0,0.0
35423,munster_cheese,roasted_hazelnut,41,2,0,0.0
51720,nutmeg,roasted_nut,2784,1,0,0.0
35126,emmental_cheese,corn_grit,1,171,0,0.0
51620,tangerine,mozzarella_cheese,31,1935,0,0.0
35155,asparagus,oat,453,1593,0,0.0
51072,bartlett_pear,peach,16,533,0,0.0
37812,emmental_cheese,pineapple,1,1886,0,0.0
35429,sesame_seed,bone_oil,510,10,0,0.0
35124,pork,violet,1731,4,0,0.0
35430,elderberry,provolone_cheese,5,196,0,0.0
37774,yam,spearmint,70,4,0,0.0
35156,coconut_oil,shrimp,18,1051,0,0.0
35128,thyme,mandarin_peel,3523,1,0,0.0
37492,rye_flour,smoke,147,455,0,0.0
35158,sunflower_oil,liver,4,34,0,0.0
37193,shallot,artemisia,616,1,0,0.0
35424,litchi,herring,6,7,0,0.0
35122,bacon,carob,2592,12,0,0.0
35425,chicory,apricot,81,593,0,0.0
51623,balm,lime_juice,3,1451,0,0.0
51712,lime,roasted_sesame_seed,1000,119,0,0.0
50900,licorice,mackerel,20,4,0,0.0
35160,avocado,sweet_potato,800,561,0,0.0
35117,bread,parsnip,5666,131,6,0.0
37771,black_mustard_seed_oil,roasted_almond,4,1,0,0.0
37810,mung_bean,munster_cheese,2,41,0,0.0
35148,beet,oat,177,1593,0,0.0
35418,star_anise,lettuce,33,1142,0,0.0
35132,anise,yogurt,227,1129,0,0.0
51624,maple_syrup,melon,535,164,0,0.0
50899,papaya,roasted_peanut,43,148,0,0.0
37805,bone_oil,yeast,10,3975,0,0.0
51717,mustard,romano_cheese,4012,308,5,0.0
37179,roasted_nut,raisin,1,2005,0,0.0
50882,tabasco_pepper,bartlett_pear,1229,16,0,0.0
37190,soybean_oil,mustard,3,4012,0,0.0
37178,cacao,corn_grit,37,171,0,0.0
35111,cayenne,citrus,8036,96,0,0.0
51709,malt,tarragon,40,415,0,0.0
35109,smoked_sausage,jasmine_tea,336,2,0,0.0
35108,soybean_oil,sumac,3,11,0,0.0
37189,saffron,herring,127,7,0,0.0
37081,almond,chickpea,2360,417,7,0.0
37197,japanese_plum,bartlett_pear,1,16,0,0.0
35172,chickpea,shallot,417,616,0,0.0
37188,mustard,bartlett_pear,4012,16,0,0.0
35147,squid,oat,47,1593,0,0.0
51619,cranberry,endive,1032,81,0,0.0
51722,pork_liver,parsnip,6,131,0,0.0
37775,lavender,sheep_cheese,64,1,0,0.0
51114,strawberry_juice,celery_oil,1,1064,0,0.0
37082,yogurt,hazelnut,1129,302,0,0.0
35170,white_bread,black_bean,435,527,0,0.0
37191,munster_cheese,sturgeon_caviar,41,1,0,0.0
37183,carrot,pistachio,3558,209,0,0.0
51710,chervil,peach,36,533,0,0.0
37079,carnation,mint,2,749,0,0.0
37813,thyme,cassava,3523,13,0,0.0
37196,huckleberry,lettuce,8,1142,0,0.0
35428,lime_peel_oil,roasted_hazelnut,105,2,0,0.0
37181,katsuobushi,corn_flake,1,320,0,0.0
35116,liver,blueberry,34,670,0,0.0
35129,lime_peel_oil,munster_cheese,105,41,0,0.0
35115,lima_bean,roasted_pork,158,127,0,0.0
37494,okra,herring,98,7,0,0.0
35165,bartlett_pear,ginger,16,2613,0,0.0
37180,savory,red_kidney_bean,155,76,0,0.0
35149,cabbage,walnut,887,2976,15,0.0
35166,camembert_cheese,roasted_nut,12,1,0,0.0
37491,butter,coconut_oil,21738,18,0,0.0
37490,licorice,walnut,20,2976,0,0.0
35130,japanese_plum,ginger,1,2613,0,0.0
51721,green_bell_pepper,papaya,3290,43,0,0.0
35167,pear,kohlrabi,374,6,0,0.0
35168,japanese_plum,gelatin,1,1689,0,0.0
37080,peppermint_oil,macadamia_nut,6,109,0,0.0
35112,matsutake,beef_broth,5,656,0,0.0
51713,lime,smoked_sausage,1000,336,0,0.0
35419,smoked_salmon,kidney_bean,107,623,0,0.0
37814,black_bean,yam,527,70,0,0.0
35131,sumac,octopus,11,10,0,0.0
35110,potato_chip,camembert_cheese,94,12,0,0.0
51645,japanese_plum,meat,1,990,0,0.0
35183,broccoli,pecan,1180,2450,8,0.0
51104,cocoa,leek,4420,357,0,0.0
35306,prickly_pear,savory,20,155,0,0.0
35305,roasted_meat,olive,20,2001,0,0.0
35304,sour_cherry,basil,44,4637,0,0.0
37104,carnation,blue_cheese,2,423,0,0.0
35377,hop,grape_juice,3,844,0,0.0
35303,fish,rye_bread,1045,118,0,0.0
37130,carrot,lemon_peel,3558,808,23,0.0
35302,plum,salmon_roe,234,9,0,0.0
35301,kiwi,scallion,121,3333,0,0.0
35378,lobster,sunflower_oil,107,4,0,0.0
37103,brussels_sprout,grapefruit,112,110,0,0.0
37102,geranium,soybean_oil,1,3,0,0.0
51666,black_tea,swiss_cheese,34,703,0,0.0
35380,artichoke,frankfurter,414,50,0,0.0
51667,caviar,grapefruit,27,110,0,0.0
35381,egg_noodle,melon,440,164,0,0.0
37504,sumac,mango,11,352,0,0.0
35300,pear,red_bean,374,1,0,0.0
51092,strawberry_juice,cashew,1,204,0,0.0
51669,fenugreek,hazelnut,769,302,0,0.0
37132,concord_grape,parmesan_cheese,5,3869,0,0.0
37129,tomato_juice,yam,248,70,0,0.0
51637,brussels_sprout,sturgeon_caviar,112,1,0,0.0
37507,saffron,chinese_cabbage,127,2,0,0.0
35308,pelargonium,tomato,1,11633,0,0.0
35313,cabbage,sweet_potato,887,561,0,0.0
51662,lime_peel_oil,seaweed,105,18,0,0.0
35312,katsuobushi,corn_grit,1,171,0,0.0
35311,olive_oil,sunflower_oil,9192,4,0,0.0
37126,pimento,black_tea,318,34,0,0.0
35310,provolone_cheese,red_kidney_bean,196,76,0,0.0
35309,pork_liver,cream_cheese,6,3604,0,0.0
50896,gardenia,pork_sausage,1,1631,0,0.0
50895,pimento,cardamom,318,269,0,0.0
51105,blackberry,geranium,166,1,0,0.0
51665,carnation,lime,2,1000,0,0.0
37127,orange_peel,tarragon,562,415,0,0.0
35373,mung_bean,kiwi,2,121,0,0.0
35374,kidney_bean,oat,623,1593,8,0.0
51641,fish,rutabaga,1045,40,0,0.0
35307,black_currant,cabbage,6,887,0,0.0
51640,lovage,meat,168,990,0,0.0
51664,matsutake,radish,5,162,0,0.0
37128,horseradish,sesame_seed,464,510,0,0.0
51638,peanut,peanut_oil,414,125,0,0.0
35298,oat,watermelon,1593,102,0,0.0
35297,squid,cranberry,47,1032,0,0.0
35382,rye_bread,black_raspberry,118,7,0,0.0
37097,brown_rice,coffee,435,640,0,0.0
37503,nira,roasted_sesame_seed,1,119,0,0.0
37134,radish,white_bread,162,435,0,0.0
