,a,b,a_count,b_count,ab_count,pmi
45499,cumin,fenugreek,3232,769,756,3.5084021913376344
27353,blackberry,kiwi,166,121,6,3.4902893395795016
22267,cardamom,saffron,269,127,10,3.4699948312383464
40397,beet,turnip,177,174,9,3.4683277498525924
50411,sauerkraut,swiss_cheese,230,703,47,3.4630196052809294
25524,rye_bread,rye_flour,118,147,5,3.4546289054944306
45286,grape,grapefruit,380,110,12,3.450563235579884
37637,cucumber,sumac,1597,11,5,3.4419686957254485
42745,chive,cucumber,1343,1597,601,3.426359794101689
8570,orange_juice,orange_peel,1806,562,283,3.421383518077347
49149,rye_flour,whole_grain_wheat_flour,147,981,40,3.416182612074568
49123,cashew,peanut_oil,204,125,7,3.4057846222135266
11579,cereal,roasted_peanut,296,148,12,3.403643126004556
7108,roasted_pork,sauerkraut,127,230,8,3.40348335060278
22568,lemongrass,lime,44,1000,12,3.3992699411923333
33324,lime_juice,papaya,1451,43,17,3.398313179783197
51263,cassava,cilantro,13,1981,7,3.3959119491999568
49911,saffron,turnip,127,174,6,3.394825287859666
33309,lime,lime_peel_oil,1000,105,28,3.3767970853402747
40181,coriander,cumin,1129,3232,968,3.37159630779066
9424,cassava,lime_juice,13,1451,5,3.3707885063931067
27927,potato_chip,tuna,94,483,12,3.3679034181701546
12639,lime_juice,watermelon,1451,102,39,3.3648887842659185
26533,coriander,lemongrass,1129,44,13,3.3579803636983447
33416,sesame_oil,soybean,356,452,42,3.355364911903838
48727,cumin,turmeric,3232,930,784,3.3546762188668513
12863,soy_sauce,thai_pepper,1794,43,20,3.3486373195464183
24539,banana,kiwi,1280,121,40,3.3447817559082633
38445,brussels_sprout,turnip,112,174,5,3.338191946229208
42434,lime_juice,thai_pepper,1451,43,16,3.337688557966762
22498,sesame_oil,wasabi,356,55,5,3.33348220065433
49749,mandarin,pineapple,335,1886,160,3.325138024520089
27533,coconut,lemongrass,1618,44,18,3.323544230664198
18903,liver,turkey,34,1050,9,3.3206268138732202
17056,lovage,mustard,168,4012,168,3.309263055222905
50265,lamb,mint,343,749,64,3.3087218569812435
13674,chicory,grape_juice,81,844,17,3.3069198990925512
39647,chervil,chive,36,1343,12,3.305034719113384
14627,lovage,scallop,168,168,7,3.3042903945535262
38884,cured_pork,kale,325,100,8,3.2967543776667383
43880,horseradish,roasted_beef,464,254,29,3.296385215046413
33923,peanut_oil,soy_sauce,125,1794,55,3.2931246096161595
4836,melon,mint,164,749,30,3.2889001746254687
335,lovage,shrimp,168,1051,43,3.2860469697180834
37603,grapefruit,pear,110,374,10,3.2841571340918287
25395,lime_juice,prickly_pear,1451,20,7,3.2764778269218655
50715,barley,soybean,257,452,28,3.275754449752484
8666,marjoram,rosemary,703,2360,398,3.2709864197588483
26421,peanut_butter,roasted_peanut,1050,148,37,3.2634684000332714
20155,turnip,veal,174,121,5,3.2609002719275613
48252,shallot,watercress,616,89,13,3.2593742285006084
50001,brown_rice,cashew,435,204,21,3.2573646170952535
16483,leek,parsnip,357,131,11,3.251270372122311
12587,red_kidney_bean,smoked_sausage,76,336,6,3.2502231732832505
44619,beet,goat_cheese,177,266,11,3.2445574357475735
1362,coriander,juniper_berry,1129,19,5,3.242219573422729
45599,lime_juice,mango,1451,352,119,3.2417922689339758
22336,chicory,goat_cheese,81,266,5,3.2378006532846935
41517,blueberry,nectarine,670,58,9,3.2358120587095196
43843,leek,porcini,357,61,5,3.227136470785881
29145,smoke,smoked_sausage,455,336,35,3.22424768687999
33086,currant,fig,206,107,5,3.2150411134873442
13173,cardamom,mace,269,115,7,3.2125748453949554
25527,almond,orange_flower,2360,15,8,3.2112826468627014
26948,cabbage,rutabaga,887,40,8,3.2090253095610515
10570,black_bean,red_kidney_bean,527,76,9,3.2055988928132573
6091,mango,watercress,352,89,7,3.1999508080298074
23529,roasted_meat,soy_sauce,20,1794,8,3.1978144298118347
49932,provolone_cheese,roasted_beef,196,254,11,3.188754550854048
45315,bean,lima_bean,2204,158,76,3.17641734129129
22506,fennel,mussel,866,53,10,3.17471647518422
13926,carrot,rutabaga,3558,40,31,3.1744620864501605
15943,oyster,peanut_oil,184,125,5,3.1724966218275448
29262,grapefruit,mandarin,110,335,8,3.1711388483670846
10224,romano_cheese,veal,308,121,8,3.1598594174142516
28150,okra,shrimp,98,1051,22,3.154885808115524
14142,okra,smoked_sausage,98,336,7,3.150139714726268
40326,cilantro,lime_juice,1981,1451,611,3.150039863893588
1389,rhubarb,strawberry,207,1251,55,3.1492240858049216
23351,blueberry,strawberry,670,1251,178,3.1491155317448936
46288,blueberry,raspberry,670,830,118,3.1482894155947405
35385,dill,smoked_salmon,1280,107,29,3.146159842915636
28788,kiwi,mango,121,352,9,3.144111060446112
13598,goat_cheese,watercress,266,89,5,3.1436134382249925
345,cacao,coffee,37,640,5,3.1433600277408895
18408,lime_juice,melon,1451,164,50,3.138456529024491
34248,buckwheat,milk_fat,29,821,5,3.1379271772999293
47583,mint,watermelon,749,102,16,3.135185129743022
45070,marjoram,thyme,703,3523,515,3.1280500348165647
52313,chayote,cilantro,17,1981,7,3.1276479626052778
14467,chickpea,saffron,417,127,11,3.126930168845709
40494,rye_flour,sauerkraut,147,230,7,3.1237064576581126
7236,celery_oil,frankfurter,1064,50,11,3.122389801773366
18420,cilantro,lemongrass,1981,44,18,3.121133281584084
49967,olive,pimento,2001,318,130,3.110388937396403
13208,cereal,peanut,296,414,25,3.108958601023557
44077,lemongrass,lime_juice,44,1451,13,3.107059674963819
31410,crab,scallop,618,168,21,3.1003782051672046
19782,sesame_oil,shiitake,356,125,9,3.100288313486619
49984,cured_pork,mozzarella_cheese,325,1935,127,3.0988075029697026
31831,cilantro,prickly_pear,1981,20,8,3.098660425732025
40220,crab,shrimp,618,1051,131,3.097519699171241
37991,barley,turnip,257,174,9,3.095401397531202
4414,bay,juniper_berry,1319,19,5,3.0866779848550765
40741,horseradish,wasabi,464,55,5,3.0685283792801052
42145,shiitake,soybean,125,452,11,3.0622075599685696
16179,chicory,lettuce,81,1142,18,3.0616944173125016
9736,squash,zucchini,627,1348,164,3.0588508000237566
39476,egg_noodle,potato_chip,440,94,8,3.055680236802256
40800,gruyere_cheese,ham,39,1459,11,3.0551352824506695
41463,caviar,chive,27,1343,7,3.053720290832478
49466,chickpea,kidney_bean,417,623,50,3.0506984691466226
46152,cod,lovage,156,168,5,3.0419261300860354
10680,orange,orange_juice,1630,1806,561,3.040824082049689
2245,grapefruit,orange,110,1630,34,3.0358530693276684
51777,cranberry,tangerine,1032,31,6,3.0248265230061318
18321,lavender,thyme,64,3523,42,3.01802656088719
20482,avocado,lime_juice,800,1451,216,3.016966631436781
39604,chervil,fish,36,1045,7,3.016927250505023
2096,beef_broth,roasted_beef,656,254,31,3.016800352827252
31855,anise_seed,orange_peel,67,562,7,3.0160238840753872
46959,fig,hazelnut,107,302,6,3.0148118216960103
40606,citrus,orange_peel,96,562,10,3.0130432559372498
32959,barley,roasted_beef,257,254,12,3.004804502178975
44273,lettuce,radish,1142,162,34,3.0045360034725532
27861,brassica,shallot,53,616,6,3.0045287964471443
45531,oyster,sesame_oil,184,356,12,3.0013483656317157
14484,blackberry,strawberry,166,1251,38,3.0002080652076626
18095,juniper_berry,pork,19,1731,6,2.9971741391901365
18354,lima_bean,turnip,158,174,5,2.9940957844973357
